Flight;Turn;Aircraft;Frequency;Passengers (7.30326e+06)
SBGOSBCF;SEG1;E190-E2;1;66
SBGOSBCT;SEG1;E190-E2;1;81
SBGOSBCY;SEG1;E190-E2;1;86
SBGOSBGL;SEG1;E190-E2;1;103
SBGOSBGR;SEG1;E190-E2;1;106
SBGOSBGR;SEG1;E190-E2;1;28
SBGOSBKP;SEG1;E190-E2;1;105
SBGOSBPA;SEG1;E190-E2;1;98
SBGOSBPJ;SEG1;E190-E2;1;84
SBGOSBRJ;SEG1;E190-E2;1;84
SBGOSBSP;SEG1;E190-E2;1;106
SBCFSBGO;SEG1;E190-E2;1;66
SBRJSBGO;SEG1;E190-E2;1;87
SBGOSBGR;SEG2;E190-E2;1;28
SBGOSBGR;SEG2;E190-E2;1;106
SBGOSBSP;SEG2;E190-E2;1;106
SBGOSBSP;SEG2;E190-E2;1;18
SBSPSBGO;SEG2;E190-E2;1;103
SBGOSBCF;SEG3;E190-E2;1;66
SBGOSBGR;SEG3;E190-E2;1;106
SBGOSBRJ;SEG3;E190-E2;1;87
SBGOSBSP;SEG3;E190-E2;1;23
SBGOSBSP;SEG3;E190-E2;1;101
SBCFSBGO;SEG3;E190-E2;1;65
SBCTSBGO;SEG3;E190-E2;1;80
SBGLSBGO;SEG3;E190-E2;1;103
SBGRSBGO;SEG3;E190-E2;1;106
SBPASBGO;SEG3;E190-E2;1;98
SBRJSBGO;SEG3;E190-E2;1;87
SBSPSBGO;SEG3;E190-E2;1;106
SBGOSBCF;TER1;E190-E2;1;64
SBGOSBCT;TER1;E190-E2;1;81
SBGOSBCY;TER1;E190-E2;1;86
SBGOSBGL;TER1;E190-E2;1;103
SBGOSBGR;TER1;E190-E2;1;106
SBGOSBGR;TER1;E190-E2;1;26
SBGOSBKP;TER1;E190-E2;1;105
SBGOSBPA;TER1;E190-E2;1;98
SBGOSBPJ;TER1;E190-E2;1;83
SBGOSBRJ;TER1;E190-E2;1;87
SBGOSBSP;TER1;E190-E2;1;106
SBGRSBGO;TER1;E190-E2;1;106
SBRJSBGO;TER1;E190-E2;1;86
SBSPSBGO;TER1;E190-E2;1;106
SBGOSBGR;TER2;E190-E2;1;106
SBGOSBSP;TER2;E190-E2;1;106
SBGRSBGO;TER2;E190-E2;1;106
SBSPSBGO;TER2;E190-E2;1;106
SBGOSBCF;TER3;E190-E2;1;65
SBGOSBGR;TER3;E190-E2;1;106
