Flight;Turn;Aircraft;Frequency;Passengers (332450);;FREQUÊNCIA DO AVIÃO E190-E2;;VOOS DE IDA E190-E2;;E190-E2;SBCF;50
SBGOSBCF;QUI1;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUI1;A220-100;1;114;;;;;;;;
SBGOSBCF;QUI1;A220-300;0;0;;;;;;;;
SBGOSBCF;QUI1;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUI1;B737-M7;1;8;;;;;;;;
SBGOSBCF;QUI1;ATR-72;1;41;;;;;;;;
SBGOSBCF;QUI2;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUI2;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUI2;A220-100;0;0;;;;;;;;
SBGOSBCF;QUI2;A220-300;0;0;;;;;;;;
SBGOSBCF;QUI2;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUI2;B737-M7;0;0;;;;;;;;
SBGOSBCF;QUI2;ATR-72;0;0;;;;;;;;
SBGOSBCF;QUI3;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUI3;E195-E2;1;39;;;;;;;;
SBGOSBCF;QUI3;A220-100;1;49;;;;;;;;
SBGOSBCF;QUI3;A220-300;0;0;;;;;;;;
SBGOSBCF;QUI3;A319Neo;1;15;;;;;;;;
SBGOSBCF;QUI3;B737-M7;1;28;;;;;;;;
SBGOSBCF;QUI3;ATR-72;1;17;;;;;;;;
SBGOSBCF;QUI4;E190-E2;0;0;;;;;;;;
SBGOSBCF;QUI4;E195-E2;0;0;;;;;;;;
SBGOSBCF;QUI4;A220-100;0;0;;;;;;;;
SBGOSBCF;QUI4;A220-300;0;0;;;;;;;;
SBGOSBCF;QUI4;A319Neo;0;0;;;;;;;;
SBGOSBCF;QUI4;B737-M7;0;0;;;;;;;;
SBGOSBCF;QUI4;ATR-72;0;0;;;;;;;;
SBGOSBCF;SEX1;E190-E2;0;0;;;;;;;;
SBGOSBCF;SEX1;E195-E2;0;0;;;;;;;;
SBGOSBCF;SEX1;A220-100;0;0;;;;;;;;
SBGOSBCF;SEX1;A220-300;0;0;;;;;;;;
SBGOSBCF;SEX1;A319Neo;1;18;;;;;;;;
SBGOSBCF;SEX1;B737-M7;1;57;;;;;;;;
SBGOSBCF;SEX1;ATR-72;0;0;;;;;;;;
SBGOSBCF;SEX2;E190-E2;0;0;;;;;;;;
SBGOSBCF;SEX2;E195-E2;0;0;;;;;;;;
SBGOSBCF;SEX2;A220-100;0;0;;;;;;;;
SBGOSBCF;SEX2;A220-300;0;0;;;;;;;;
SBGOSBCF;SEX2;A319Neo;0;0;;;;;;;;
SBGOSBCF;SEX2;B737-M7;0;0;;;;;;;;
SBGOSBCF;SEX2;ATR-72;0;0;;;;;;;;
SBGOSBCF;SEX3;E190-E2;1;130;;;;;;;;
SBGOSBCF;SEX3;E195-E2;1;21;;;;;;;;
SBGOSBCF;SEX3;A220-100;0;0;;;;;;;;
SBGOSBCF;SEX3;A220-300;0;0;;;;;;;;
SBGOSBCF;SEX3;A319Neo;1;7;;;;;;;;
SBGOSBCF;SEX3;B737-M7;0;0;;;;;;;;
SBGOSBCF;SEX3;ATR-72;0;0;;;;;;;;
SBGOSBCF;SEX4;E190-E2;0;0;;;;;;;;
SBGOSBCF;SEX4;E195-E2;0;0;;;;;;;;
SBGOSBCF;SEX4;A220-100;0;0;;;;;;;;
SBGOSBCF;SEX4;A220-300;0;0;;;;;;;;
SBGOSBCF;SEX4;A319Neo;0;0;;;;;;;;
SBGOSBCF;SEX4;B737-M7;0;0;;;;;;;;
SBGOSBCF;SEX4;ATR-72;0;0;;;;;;;;
SBGOSBCF;SAB1;E190-E2;0;0;;;;;;;;
SBGOSBCF;SAB1;E195-E2;1;129;;;;;;;;
SBGOSBCF;SAB1;A220-100;1;16;;;;;;;;
SBGOSBCF;SAB1;A220-300;0;0;;;;;;;;
