Flight;Turn;Aircraft;Frequency;Passengers (6.80064e+06)
SBGRSBGO;SEX3;A220-100;1;115
SBKPSBGO;SEX3;B737-M7;1;105
SBPASBGO;SEX3;E190-E2;1;98
SBPJSBGO;SEX3;E190-E2;1;84
SBRJSBGO;SEX3;A220-100;1;87
SBSPSBGO;SEX3;A220-100;1;115
SBGOSBCF;SAB1;ATR-72;1;66
SBGOSBCY;SAB1;E190-E2;1;86
SBGOSBGL;SAB1;A220-100;1;103
SBGOSBGR;SAB1;A220-100;1;115
SBGOSBKP;SAB1;A220-100;1;105
SBGOSBPA;SAB1;E190-E2;1;98
SBGOSBPJ;SAB1;E190-E2;1;84
SBGOSBSP;SAB1;A220-100;1;115
SBCFSBGO;SAB1;ATR-72;1;66
SBGRSBGO;SAB1;A220-100;1;115
SBRJSBGO;SAB1;E190-E2;1;87
SBSPSBGO;SAB1;E190-E2;1;106
SBGOSBGR;SAB2;A220-100;1;115
SBGRSBGO;SAB2;A220-100;1;115
SBSPSBGO;SAB2;A220-100;1;115
SBGOSBCF;SAB3;ATR-72;1;66
SBGOSBSP;SAB3;A220-100;1;115
SBCFSBGO;SAB3;ATR-72;1;66
SBCTSBGO;SAB3;E190-E2;1;81
SBCYSBGO;SAB3;E190-E2;1;86
SBGLSBGO;SAB3;E190-E2;1;103
SBGRSBGO;SAB3;A220-100;1;115
SBKPSBGO;SAB3;E190-E2;1;105
SBPASBGO;SAB3;E190-E2;1;98
SBPJSBGO;SAB3;E190-E2;1;84
SBRJSBGO;SAB3;A220-100;1;87
SBSPSBGO;SAB3;A220-100;1;115
SBGOSBCF;DOM1;E190-E2;1;74
SBGOSBCT;DOM1;ATR-72;1;68
SBGOSBCY;DOM1;E190-E2;1;90
SBGOSBGL;DOM1;E190-E2;1;106
SBGOSBGR;DOM1;A220-100;1;115
SBGOSBKP;DOM1;A220-100;1;107
SBGOSBPA;DOM1;E190-E2;1;103
SBGOSBPJ;DOM1;E190-E2;1;85
SBGOSBRJ;DOM1;E190-E2;1;88
SBGOSBSP;DOM1;A319Neo;1;117
SBCFSBGO;DOM1;ATR-72;1;66
SBGRSBGO;DOM1;A220-100;1;115
SBRJSBGO;DOM1;E190-E2;1;87
SBSPSBGO;DOM1;A220-100;1;115
SBGOSBSP;DOM2;E195-E2;1;124
SBGRSBGO;DOM2;A220-100;1;115
SBSPSBGO;DOM2;A220-100;1;115
SBGOSBCF;DOM3;E190-E2;1;66
SBGOSBGR;DOM3;A220-100;1;115
SBGOSBRJ;DOM3;A220-100;1;87
SBGOSBSP;DOM3;A220-100;1;115
SBCFSBGO;DOM3;E190-E2;1;74
SBCTSBGO;DOM3;E190-E2;1;84
SBCYSBGO;DOM3;E190-E2;1;90
SBGLSBGO;DOM3;E190-E2;1;106
SBGRSBGO;DOM3;A220-100;1;115
SBKPSBGO;DOM3;A220-100;1;107
SBPASBGO;DOM3;E190-E2;1;103
SBPASBGO;DOM3;A220-100;1;103
SBPJSBGO;DOM3;E190-E2;1;85
SBRJSBGO;DOM3;E190-E2;1;88
SBSPSBGO;DOM3;A220-100;1;115
