Flight;Turn;Aircraft;Frequency;Passengers (6.92724e+06)
SBGOSBCF;SEG1;E190-E2;1;64
SBGOSBCT;SEG1;E190-E2;1;48
SBGOSBCT;SEG1;E190-E2;1;33
SBGOSBCY;SEG1;E190-E2;1;75
SBGOSBCY;SEG1;E190-E2;1;9
SBGOSBGL;SEG1;E190-E2;1;103
SBGOSBGR;SEG1;E190-E2;1;40
SBGOSBGR;SEG1;E190-E2;1;94
SBGOSBKP;SEG1;E190-E2;1;105
SBGOSBPA;SEG1;E190-E2;1;97
SBGOSBPJ;SEG1;E190-E2;1;84
SBGOSBRJ;SEG1;E190-E2;1;82
SBGOSBSP;SEG1;E190-E2;1;106
SBGOSBGR;SEG2;E190-E2;1;106
SBGOSBSP;SEG2;E190-E2;1;106
SBSPSBGO;SEG2;E190-E2;1;104
SBGOSBCF;SEG3;E190-E2;1;60
SBGOSBGR;SEG3;E190-E2;1;106
SBGOSBGR;SEG3;E190-E2;1;28
SBGOSBRJ;SEG3;E190-E2;1;87
SBGOSBSP;SEG3;E190-E2;1;106
SBCTSBGO;SEG3;E190-E2;1;75
SBCYSBGO;SEG3;E190-E2;1;84
SBGRSBGO;SEG3;E190-E2;1;104
SBKPSBGO;SEG3;E190-E2;1;105
SBPJSBGO;SEG3;E190-E2;1;53
SBRJSBGO;SEG3;E190-E2;1;86
SBGOSBCF;TER1;E190-E2;1;66
SBGOSBCT;TER1;E190-E2;1;81
SBGOSBCY;TER1;E190-E2;1;78
SBGOSBGL;TER1;E190-E2;1;103
SBGOSBGR;TER1;E190-E2;1;106
SBGOSBKP;TER1;E190-E2;1;105
SBGOSBPA;TER1;E190-E2;1;98
SBGOSBPJ;TER1;E190-E2;1;81
SBGOSBRJ;TER1;E190-E2;1;71
SBGOSBSP;TER1;E190-E2;1;106
SBGOSBSP;TER1;E190-E2;1;18
SBCFSBGO;TER1;E190-E2;1;62
SBGRSBGO;TER1;E190-E2;1;96
SBSPSBGO;TER1;E190-E2;1;106
SBGOSBGR;TER2;E190-E2;1;106
SBGOSBSP;TER2;E190-E2;1;106
SBGRSBGO;TER2;E190-E2;1;106
SBSPSBGO;TER2;E190-E2;1;106
SBGOSBCF;TER3;E190-E2;1;66
SBGOSBGR;TER3;E190-E2;1;106
SBGOSBGR;TER3;E190-E2;1;28
SBGOSBRJ;TER3;E190-E2;1;87
SBGOSBSP;TER3;E190-E2;1;106
SBCFSBGO;TER3;E190-E2;1;57
SBCYSBGO;TER3;E190-E2;1;86
SBGLSBGO;TER3;E190-E2;1;103
SBGRSBGO;TER3;E190-E2;1;106
SBKPSBGO;TER3;E190-E2;1;105
SBPASBGO;TER3;E190-E2;1;98
SBPJSBGO;TER3;E190-E2;1;83
SBRJSBGO;TER3;E190-E2;1;85
SBSPSBGO;TER3;E190-E2;1;106
SBGOSBCF;QUA1;E190-E2;1;57
SBGOSBCT;QUA1;E190-E2;1;76
SBGOSBCY;QUA1;E190-E2;1;84
SBGOSBGL;QUA1;E190-E2;1;103
SBGOSBGR;QUA1;E190-E2;1;106
SBGOSBKP;QUA1;E190-E2;1;105
SBGOSBPA;QUA1;E190-E2;1;98
SBGOSBPJ;QUA1;E190-E2;1;84
SBGOSBRJ;QUA1;E190-E2;1;87
SBGOSBSP;QUA1;E190-E2;1;18
SBGOSBSP;QUA1;E190-E2;1;106
