Flight;Turn;Aircraft;Frequency;Passengers (8.12527e+06)
SBGOSBCF;SEX1;B737-M7;0;0
SBGOSBCF;SEX1;ATR-72;0;0
SBGOSBCF;SEX2;E190-E2;0;0
SBGOSBCF;SEX2;E195-E2;0;0
SBGOSBCF;SEX2;A220-100;0;0
SBGOSBCF;SEX2;A220-300;0;0
SBGOSBCF;SEX2;A319Neo;0;0
SBGOSBCF;SEX2;B737-M7;0;0
SBGOSBCF;SEX2;ATR-72;0;0
SBGOSBCF;SEX3;E190-E2;0;0
SBGOSBCF;SEX3;E195-E2;0;0
SBGOSBCF;SEX3;A220-100;0;0
SBGOSBCF;SEX3;A220-300;0;0
SBGOSBCF;SEX3;A319Neo;0;0
SBGOSBCF;SEX3;B737-M7;0;0
SBGOSBCF;SEX3;ATR-72;0;0
SBGOSBCF;SEX4;E190-E2;0;0
SBGOSBCF;SEX4;E195-E2;0;0
SBGOSBCF;SEX4;A220-100;0;0
SBGOSBCF;SEX4;A220-300;0;0
SBGOSBCF;SEX4;A319Neo;0;0
SBGOSBCF;SEX4;B737-M7;0;0
SBGOSBCF;SEX4;ATR-72;0;0
SBGOSBCF;SAB1;E190-E2;0;0
SBGOSBCF;SAB1;E195-E2;0;0
SBGOSBCF;SAB1;A220-100;0;0
SBGOSBCF;SAB1;A220-300;0;0
SBGOSBCF;SAB1;A319Neo;0;0
SBGOSBCF;SAB1;B737-M7;0;0
SBGOSBCF;SAB1;ATR-72;0;0
SBGOSBCF;SAB2;E190-E2;0;0
SBGOSBCF;SAB2;E195-E2;0;0
SBGOSBCF;SAB2;A220-100;0;0
SBGOSBCF;SAB2;A220-300;0;0
SBGOSBCF;SAB2;A319Neo;0;0
SBGOSBCF;SAB2;B737-M7;0;0
SBGOSBCF;SAB2;ATR-72;0;0
SBGOSBCF;SAB3;E190-E2;0;0
SBGOSBCF;SAB3;E195-E2;0;0
SBGOSBCF;SAB3;A220-100;0;0
SBGOSBCF;SAB3;A220-300;0;0
SBGOSBCF;SAB3;A319Neo;0;0
SBGOSBCF;SAB3;B737-M7;0;0
SBGOSBCF;SAB3;ATR-72;0;0
SBGOSBCF;SAB4;E190-E2;0;0
SBGOSBCF;SAB4;E195-E2;0;0
SBGOSBCF;SAB4;A220-100;0;0
SBGOSBCF;SAB4;A220-300;0;0
SBGOSBCF;SAB4;A319Neo;0;0
SBGOSBCF;SAB4;B737-M7;0;0
SBGOSBCF;SAB4;ATR-72;0;0
SBGOSBCF;DOM1;E190-E2;0;0
SBGOSBCF;DOM1;E195-E2;0;0
SBGOSBCF;DOM1;A220-100;0;0
SBGOSBCF;DOM1;A220-300;0;0
SBGOSBCF;DOM1;A319Neo;0;0
SBGOSBCF;DOM1;B737-M7;0;0
SBGOSBCF;DOM1;ATR-72;0;0
SBGOSBCF;DOM2;E190-E2;0;0
SBGOSBCF;DOM2;E195-E2;0;0
SBGOSBCF;DOM2;A220-100;0;0
SBGOSBCF;DOM2;A220-300;0;0
SBGOSBCF;DOM2;A319Neo;0;0
SBGOSBCF;DOM2;B737-M7;0;0
SBGOSBCF;DOM2;ATR-72;0;0
SBGOSBCF;DOM3;E190-E2;0;0
SBGOSBCF;DOM3;E195-E2;0;0
SBGOSBCF;DOM3;A220-100;0;0
SBGOSBCF;DOM3;A220-300;0;0
SBGOSBCF;DOM3;A319Neo;0;0
SBGOSBCF;DOM3;B737-M7;0;0
SBGOSBCF;DOM3;ATR-72;0;0
SBGOSBCF;DOM4;E190-E2;0;0
SBGOSBCF;DOM4;E195-E2;0;0
SBGOSBCF;DOM4;A220-100;0;0
SBGOSBCF;DOM4;A220-300;0;0
SBGOSBCF;DOM4;A319Neo;0;0
SBGOSBCF;DOM4;B737-M7;0;0
SBGOSBCF;DOM4;ATR-72;0;0
SBGOSBCT;SEG1;E190-E2;0;0
SBGOSBCT;SEG1;E195-E2;0;0
SBGOSBCT;SEG1;A220-100;0;0
SBGOSBCT;SEG1;A220-300;0;0
SBGOSBCT;SEG1;A319Neo;0;0
SBGOSBCT;SEG1;B737-M7;0;0
SBGOSBCT;SEG1;ATR-72;0;0
SBGOSBCT;SEG2;E190-E2;0;0
SBGOSBCT;SEG2;E195-E2;0;0
SBGOSBCT;SEG2;A220-100;0;0
SBGOSBCT;SEG2;A220-300;0;0
SBGOSBCT;SEG2;A319Neo;0;0
SBGOSBCT;SEG2;B737-M7;0;0
SBGOSBCT;SEG2;ATR-72;0;0
SBGOSBCT;SEG3;E190-E2;0;0
SBGOSBCT;SEG3;E195-E2;0;0
SBGOSBCT;SEG3;A220-100;0;0
SBGOSBCT;SEG3;A220-300;0;0
SBGOSBCT;SEG3;A319Neo;0;0
SBGOSBCT;SEG3;B737-M7;0;0
SBGOSBCT;SEG3;ATR-72;0;0
SBGOSBCT;SEG4;E190-E2;0;0
SBGOSBCT;SEG4;E195-E2;0;0
SBGOSBCT;SEG4;A220-100;0;0
SBGOSBCT;SEG4;A220-300;0;0
SBGOSBCT;SEG4;A319Neo;0;0
SBGOSBCT;SEG4;B737-M7;0;0
SBGOSBCT;SEG4;ATR-72;0;0
SBGOSBCT;TER1;E190-E2;0;0
SBGOSBCT;TER1;E195-E2;0;0
SBGOSBCT;TER1;A220-100;0;0
SBGOSBCT;TER1;A220-300;0;0
SBGOSBCT;TER1;A319Neo;0;0
SBGOSBCT;TER1;B737-M7;0;0
SBGOSBCT;TER1;ATR-72;0;0
SBGOSBCT;TER2;E190-E2;0;0
SBGOSBCT;TER2;E195-E2;0;0
SBGOSBCT;TER2;A220-100;0;0
SBGOSBCT;TER2;A220-300;0;0
SBGOSBCT;TER2;A319Neo;0;0
SBGOSBCT;TER2;B737-M7;0;0
SBGOSBCT;TER2;ATR-72;0;0
SBGOSBCT;TER3;E190-E2;0;0
SBGOSBCT;TER3;E195-E2;0;0
SBGOSBCT;TER3;A220-100;0;0
SBGOSBCT;TER3;A220-300;0;0
SBGOSBCT;TER3;A319Neo;0;0
SBGOSBCT;TER3;B737-M7;0;0
SBGOSBCT;TER3;ATR-72;0;0
SBGOSBCT;TER4;E190-E2;0;0
SBGOSBCT;TER4;E195-E2;0;0
SBGOSBCT;TER4;A220-100;0;0
SBGOSBCT;TER4;A220-300;0;0
SBGOSBCT;TER4;A319Neo;0;0
SBGOSBCT;TER4;B737-M7;0;0
SBGOSBCT;TER4;ATR-72;0;0
SBGOSBCT;QUA1;E190-E2;0;0
SBGOSBCT;QUA1;E195-E2;0;0
SBGOSBCT;QUA1;A220-100;0;0
SBGOSBCT;QUA1;A220-300;0;0
SBGOSBCT;QUA1;A319Neo;0;0
SBGOSBCT;QUA1;B737-M7;0;0
SBGOSBCT;QUA1;ATR-72;0;0
SBGOSBCT;QUA2;E190-E2;0;0
SBGOSBCT;QUA2;E195-E2;0;0
SBGOSBCT;QUA2;A220-100;0;0
SBGOSBCT;QUA2;A220-300;0;0
SBGOSBCT;QUA2;A319Neo;0;0
SBGOSBCT;QUA2;B737-M7;0;0
SBGOSBCT;QUA2;ATR-72;0;0
SBGOSBCT;QUA3;E190-E2;0;0
SBGOSBCT;QUA3;E195-E2;0;0
SBGOSBCT;QUA3;A220-100;0;0
SBGOSBCT;QUA3;A220-300;0;0
SBGOSBCT;QUA3;A319Neo;0;0
SBGOSBCT;QUA3;B737-M7;0;0
SBGOSBCT;QUA3;ATR-72;0;0
SBGOSBCT;QUA4;E190-E2;0;0
SBGOSBCT;QUA4;E195-E2;0;0
SBGOSBCT;QUA4;A220-100;0;0
SBGOSBCT;QUA4;A220-300;0;0
SBGOSBCT;QUA4;A319Neo;0;0
SBGOSBCT;QUA4;B737-M7;0;0
SBGOSBCT;QUA4;ATR-72;0;0
SBGOSBCT;QUI1;E190-E2;0;0
SBGOSBCT;QUI1;E195-E2;0;0
SBGOSBCT;QUI1;A220-100;0;0
SBGOSBCT;QUI1;A220-300;0;0
SBGOSBCT;QUI1;A319Neo;0;0
SBGOSBCT;QUI1;B737-M7;0;0
SBGOSBCT;QUI1;ATR-72;0;0
SBGOSBCT;QUI2;E190-E2;0;0
SBGOSBCT;QUI2;E195-E2;0;0
SBGOSBCT;QUI2;A220-100;0;0
SBGOSBCT;QUI2;A220-300;0;0
SBGOSBCT;QUI2;A319Neo;0;0
SBGOSBCT;QUI2;B737-M7;0;0
SBGOSBCT;QUI2;ATR-72;0;0
SBGOSBCT;QUI3;E190-E2;0;0
SBGOSBCT;QUI3;E195-E2;0;0
SBGOSBCT;QUI3;A220-100;0;0
SBGOSBCT;QUI3;A220-300;0;0
SBGOSBCT;QUI3;A319Neo;0;0
SBGOSBCT;QUI3;B737-M7;0;0
SBGOSBCT;QUI3;ATR-72;0;0
SBGOSBCT;QUI4;E190-E2;0;0
SBGOSBCT;QUI4;E195-E2;0;0
SBGOSBCT;QUI4;A220-100;0;0
SBGOSBCT;QUI4;A220-300;0;0
SBGOSBCT;QUI4;A319Neo;0;0
SBGOSBCT;QUI4;B737-M7;0;0
SBGOSBCT;QUI4;ATR-72;0;0
SBGOSBCT;SEX1;E190-E2;0;0
SBGOSBCT;SEX1;E195-E2;0;0
SBGOSBCT;SEX1;A220-100;0;0
SBGOSBCT;SEX1;A220-300;0;0
SBGOSBCT;SEX1;A319Neo;0;0
SBGOSBCT;SEX1;B737-M7;0;0
SBGOSBCT;SEX1;ATR-72;0;0
SBGOSBCT;SEX2;E190-E2;0;0
SBGOSBCT;SEX2;E195-E2;0;0
SBGOSBCT;SEX2;A220-100;0;0
SBGOSBCT;SEX2;A220-300;0;0
SBGOSBCT;SEX2;A319Neo;0;0
SBGOSBCT;SEX2;B737-M7;0;0
SBGOSBCT;SEX2;ATR-72;0;0
SBGOSBCT;SEX3;E190-E2;0;0
SBGOSBCT;SEX3;E195-E2;0;0
SBGOSBCT;SEX3;A220-100;0;0
SBGOSBCT;SEX3;A220-300;0;0
SBGOSBCT;SEX3;A319Neo;0;0
SBGOSBCT;SEX3;B737-M7;0;0
SBGOSBCT;SEX3;ATR-72;0;0
SBGOSBCT;SEX4;E190-E2;0;0
SBGOSBCT;SEX4;E195-E2;0;0
SBGOSBCT;SEX4;A220-100;0;0
SBGOSBCT;SEX4;A220-300;0;0
SBGOSBCT;SEX4;A319Neo;0;0
SBGOSBCT;SEX4;B737-M7;0;0
SBGOSBCT;SEX4;ATR-72;0;0
SBGOSBCT;SAB1;E190-E2;0;0
SBGOSBCT;SAB1;E195-E2;0;0
SBGOSBCT;SAB1;A220-100;0;0
SBGOSBCT;SAB1;A220-300;0;0
SBGOSBCT;SAB1;A319Neo;0;0
SBGOSBCT;SAB1;B737-M7;0;0
SBGOSBCT;SAB1;ATR-72;0;0
SBGOSBCT;SAB2;E190-E2;0;0
SBGOSBCT;SAB2;E195-E2;0;0
SBGOSBCT;SAB2;A220-100;0;0
SBGOSBCT;SAB2;A220-300;0;0
SBGOSBCT;SAB2;A319Neo;0;0
SBGOSBCT;SAB2;B737-M7;0;0
SBGOSBCT;SAB2;ATR-72;0;0
SBGOSBCT;SAB3;E190-E2;0;0
SBGOSBCT;SAB3;E195-E2;0;0
SBGOSBCT;SAB3;A220-100;0;0
SBGOSBCT;SAB3;A220-300;0;0
SBGOSBCT;SAB3;A319Neo;0;0
SBGOSBCT;SAB3;B737-M7;0;0
SBGOSBCT;SAB3;ATR-72;0;0
SBGOSBCT;SAB4;E190-E2;0;0
SBGOSBCT;SAB4;E195-E2;0;0
SBGOSBCT;SAB4;A220-100;0;0
